buildingname,buildingaddress,buildingtype,buildingsize,greenmarkyearaward,greenmarkrating,greenmarkstatus,grossfloorarea,2018energyuseintensity,2019energyusintensity,voluntarydisclosure
ORCHARD HOTEL SINGAPORE,"442 ORCHARD ROAD, SINGAPORE 238879",Commercial Building,Large,2015,Gold,Yes,"44,097",376,365,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,392,366,N
INTERCONTINENTAL SINGAPORE ROBERTSON QUAY,"1 NANSON ROAD, SINGAPORE 238909",Commercial Building,Large,2018,Certified,Yes,"14,284",391,398,Y
HILTON GARDEN INN SINGAPORE SERANGOON,"3 BELILIOS ROAD, SINGAPORE 219924",Commercial Building,Large,N/A,N/A,No,"10,803",383,401,Y
W SINGAPORE SENTOSA COVE HOTEL,"21 OCEAN WAY, SINGAPORE 098374",Commercial Building,Large,2012,Platinum,Yes,"23,800",405,403,Y
HOTEL G SINGAPORE,"200 MIDDLE ROAD, SINGAPORE 188980",Commercial Building,Large,2013,Certified,Yes,"8,784",434,408,Y
STUDIO M HOTEL,"3 NANSON ROAD, SINGAPORE 238910",Commercial Building,Large,2018,Gold,Yes,"8,259",429,467,Y
MERCURE SINGAPORE BUGIS,"122 MIDDLE ROAD, SINGAPORE 188973",Commercial Building,Large,2016,Certified,Yes,"11,899",507,487,Y
CUSTOMS HOUSE,"70 COLLYER QUAY, SINGAPORE 049323",Commercial Building,Large,N/A,N/A,No,"63,959",494,501,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,503,516,N
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,568,517,N
THE SINGAPORE RESORT & SPA,"2 BUKIT MANIS ROAD, SINGAPORE 099891",Commercial Building,Large,N/A,N/A,No,"13,752",534,536,Y
THE CAPITOL KEMPINSKI HOTEL SINGAPORE,"15 STAMFORD ROAD, SINGAPORE 178906",Commercial Building,Large,N/A,N/A,No,"12,621",425,566,Y
RAMADA SINGAPORE AT ZHONGSHAN PARK,"16 AH HOOD ROAD, SINGAPORE 329982",Commercial Building,Large,2018,Gold,Yes,"26,387",580,586,Y
N/A,"255 BALESTIER ROAD, SINGAPORE 329710",Commercial Building,Small,N/A,N/A,No,890,185,187,Y
MORI HOSTEL,"429 RACE COURSE ROAD, SINGAPORE 218675",Commercial Building,Small,N/A,N/A,No,357,212,190,Y
J8 HOTEL,"8 TOWNSHEND ROAD, SINGAPORE 207606",Commercial Building,Small,N/A,N/A,No,"2,321",198,217,Y
N/A,"12 TECK LIM ROAD, SINGAPORE 088387",Commercial Building,Small,N/A,N/A,No,"1,040",19,226,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,209,229,N
N/A,N/A,Commercial Building,Small,N/A,N/A,Yes,N/A,218,242,N
PARC SOVEREIGN HOTEL - TYRWHITT,"165 TYRWHITT ROAD, SINGAPORE 207569",Commercial Building,Small,N/A,N/A,No,"6,962",254,272,Y
HOLIDAY INN EXPRESS SINGAPORE SERANGOON,"270 JALAN BESAR, SINGAPORE 209019",Commercial Building,Small,N/A,N/A,No,"3,824",62,276,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,Yes,N/A,276,277,N
AQUEEN HERITAGE HOTEL - JOO CHIAT,"51 JOO CHIAT ROAD, SINGAPORE 427373",Commercial Building,Small,N/A,N/A,No,"2,049",302,317,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,342,352,N
N/A,"175A CHIN SWEE ROAD, SINGAPORE 169879",Commercial Building,Small,2018,Certified,Yes,"6,086",348,355,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,Yes,N/A,345,360,N
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,435,527,N
CHANGI EXHIBITION CENTRE,"9 AVIATION PARK ROAD, SINGAPORE 498760",Commercial Building,Large,N/A,N/A,No,"51,909",40,20,Y
CHIJMES,"30 VICTORIA STREET, SINGAPORE 187996",Commercial Building,Large,2015,Certified,Yes,"119,287",520,68,Y
SINGAPORE EXPO,"1 EXPO DRIVE, SINGAPORE 486150",Commercial Building,Large,2019,GoldPlus,Yes,"170,288",83,72,Y
YEN SAN BUILDING,"268 ORCHARD ROAD, SINGAPORE 238856",Commercial Building,Large,N/A,N/A,No,"16,971",109,109,Y
THE BENCOOLEN,"180 BENCOOLEN STREET, SINGAPORE 189646",Commercial Building,Large,N/A,N/A,No,"29,796",128,134,Y
BEAUTY WORLD CENTRE,"144 UPPER BUKIT TIMAH ROAD, SINGAPORE 588177",Commercial Building,Large,2018,GoldPlus,Yes,"42,262",124,135,Y
TEXTILE CENTRE,"200 JALAN SULTAN, SINGAPORE 199018",Commercial Building,Large,N/A,N/A,No,"47,750",138,148,Y
BUKIT TIMAH SHOPPING CENTRE,"170 UPPER BUKIT TIMAH ROAD, SINGAPORE 588179",Commercial Building,Large,2014,Gold,Yes,"29,985",156,150,Y
OG ORCHARD POINT,"160 ORCHARD ROAD, SINGAPORE 238842",Commercial Building,Large,N/A,N/A,No,"26,671",161,153,Y
THE GRANDSTAND,"200 TURF CLUB ROAD, SINGAPORE 287994",Commercial Building,Large,N/A,N/A,No,"90,517",170,156,Y
PARKLANE SHOPPING MALL,"35 SELEGIE ROAD, SINGAPORE 188307",Commercial Building,Large,N/A,N/A,No,"37,440",167,159,Y
ROXY SQUARE,"50 EAST COAST ROAD, SINGAPORE 428769",Commercial Building,Large,N/A,N/A,No,"79,471",158,159,Y
CITY PLAZA,"810 GEYLANG ROAD, SINGAPORE 409286",Commercial Building,Large,N/A,N/A,No,"33,782",170,163,Y
GOLDEN MILE COMPLEX,"5001 BEACH ROAD, SINGAPORE 199588",Commercial Building,Large,N/A,N/A,No,"66,479",166,165,Y
MARINA SQUARE,"6 RAFFLES BOULEVARD, SINGAPORE 039594",Commercial Building,Large,N/A,N/A,No,"452,045",200,199,Y
JOO CHIAT COMPLEX,"1 JOO CHIAT ROAD, SINGAPORE 420001",Commercial Building,Large,2017,Platinum,Yes,"25,347",198,211,Y
ORCHARD PLAZA,"150 ORCHARD ROAD, SINGAPORE 238841",Commercial Building,Large,2017,GoldPlus,Yes,"22,331",218,212,Y
TANJONG KATONG COMPLEX,"845 GEYLANG ROAD, SINGAPORE 400845",Commercial Building,Large,N/A,N/A,No,"18,841",222,216,Y
HAVELOCK2,"2 HAVELOCK ROAD, SINGAPORE 059763",Commercial Building,Large,N/A,N/A,No,"19,970",239,218,Y
ROYAL SQUARE AT NOVENA,"99 IRRAWADDY ROAD, SINGAPORE 329568",Commercial Building,Large,2017,Platinum,Yes,"36,961",208,242,Y
KATONG SHOPPING CENTRE,"865 MOUNTBATTEN ROAD, SINGAPORE 437844",Commercial Building,Large,N/A,N/A,No,"23,076",250,243,Y
PEOPLE'S PARK COMPLEX,"1 PARK ROAD, SINGAPORE 059108",Commercial Building,Large,2017,Gold,Yes,"44,900",267,254,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,422,288,N
THE CATHAY,"2 HANDY ROAD, SINGAPORE 229233",Commercial Building,Large,N/A,N/A,No,"24,434",337,307,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,347,328,N
JEM,"50 JURONG GATEWAY ROAD, SINGAPORE 608549",Commercial Building,Large,2018,Platinum,Yes,"108,169",336,329,Y
THE CENTREPOINT,"176 ORCHARD ROAD, SINGAPORE 238843",Commercial Building,Large,N/A,N/A,No,"53,196",341,330,Y
FAR EAST PLAZA,"14 SCOTTS ROAD, SINGAPORE 228213",Commercial Building,Large,2014,GoldPlus,Yes,"40,749",334,335,Y
BUKIT TIMAH PLAZA,"1 JALAN ANAK BUKIT, SINGAPORE 588996",Commercial Building,Large,2012,Gold,Yes,"25,772",366,365,Y
THE PARAGON,"290 ORCHARD ROAD, SINGAPORE 238859",Commercial Building,Large,2018,Certified,Yes,"94,393",379,370,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,375,371,N
112 KATONG,"112 EAST COAST ROAD, SINGAPORE 428802",Commercial Building,Large,N/A,N/A,No,"26,208",396,373,Y
WISMA ATRIA,"435 ORCHARD ROAD, SINGAPORE 238877",Commercial Building,Large,N/A,N/A,No,"40,064",401,373,Y
CATHAY CINELEISURE ORCHARD,"8 GRANGE ROAD, SINGAPORE 239695",Commercial Building,Large,N/A,N/A,No,"24,646",411,389,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,411,396,N
CONNEXION,"1 FARRER PARK STATION ROAD, SINGAPORE 217562",Commercial Building,Large,2011,Platinum,Yes,"58,369",322,398,Y
CITY SQUARE MALL,"180 KITCHENER ROAD, SINGAPORE 208539",Commercial Building,Large,2018,Platinum,Yes,"65,640",365,398,Y
THOMSON PLAZA,"301 UPPER THOMSON ROAD, SINGAPORE 574408",Commercial Building,Large,N/A,N/A,No,"29,413",469,408,Y
N/A,"92 TELOK AYER STREET, SINGAPORE 048472",Commercial Building,Large,N/A,N/A,No,"18,396",449,413,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,419,429,N
SEMBAWANG SHOPPING CENTRE,"604 SEMBAWANG ROAD, SINGAPORE 758459",Commercial Building,Large,2016,Gold,Yes,"19,146",488,446,Y
TAMPINES ONE,"10 TAMPINES CENTRAL 1, SINGAPORE 529536",Commercial Building,Large,2019,GoldPlus,Yes,"35,386",455,466,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,455,466,N
BUGIS+,"201 VICTORIA STREET, SINGAPORE 188067",Commercial Building,Large,2017,Platinum,Yes,"27,629",489,470,Y
ION ORCHARD,"2 ORCHARD TURN, SINGAPORE 238801",Commercial Building,Large,2017,Gold,Yes,"87,486",471,475,Y
WEST MALL,"1 BUKIT BATOK CENTRAL LINK, SINGAPORE 658713",Commercial Building,Large,2013,Gold,Yes,"24,182",483,477,Y
CENTURY SQUARE,"2 TAMPINES CENTRAL 5, SINGAPORE 529509",Commercial Building,Large,2018,Platinum,Yes,"30,400",311,479,Y
CAUSEWAY POINT,"1 WOODLANDS SQUARE, SINGAPORE 738099",Commercial Building,Large,2017,Platinum,Yes,"58,450",466,481,Y
AMK HUB,"53 ANG MO KIO AVENUE 3, SINGAPORE 569933",Commercial Building,Large,2019,GoldPlus,Yes,"47,873",N/A,484,Y
NEX,"23 SERANGOON CENTRAL, SINGAPORE 556083",Commercial Building,Large,2017,Gold,Yes,"87,527",486,484,Y
VIVO CITY,"1 HARBOURFRONT WALK, SINGAPORE 098585",Commercial Building,Large,2019,Platinum,Yes,"142,853",511,502,Y
TANGLIN MALL,"163 TANGLIN ROAD, SINGAPORE 247933",Commercial Building,Large,N/A,N/A,No,"21,267",522,506,Y
CHANGI CITY POINT,"5 CHANGI BUSINESS PARK CENTRAL 1, SINGAPORE 486038",Commercial Building,Large,2011,GoldPlus,Yes,"28,463",487,508,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,552,509,N
JUNCTION 8 SHOPPING CENTRE,"9 BISHAN PLACE, SINGAPORE 579837",Commercial Building,Large,2017,Platinum,Yes,"41,946",495,511,Y
313 @ SOMERSET,"313 ORCHARD ROAD, SINGAPORE 238895",Commercial Building,Large,2016,Platinum,Yes,"39,913",513,523,Y
TAMPINES MALL,"4 TAMPINES CENTRAL 5, SINGAPORE 529510",Commercial Building,Large,2019,GoldPlus,Yes,"47,065",524,530,Y
COMPASS ONE,"1 SENGKANG SQUARE, SINGAPORE 545078",Commercial Building,Large,2016,Gold,Yes,"38,621",542,545,Y
N/A,"1 PASIR RIS CENTRAL STREET 3, SINGAPORE 518457",Commercial Building,Large,2018,Platinum,Yes,"22,076",548,568,Y
MERCHANTS' COURT,"3A RIVER VALLEY ROAD, SINGAPORE 179020",Commercial Building,Large,N/A,N/A,No,"34,009",568,584,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,583,585,N
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,587,587,N
N/A,"930 YISHUN AVENUE 2, SINGAPORE 769098",Commercial Building,Large,2017,Gold,Yes,"34,970",594,588,Y
THE CLEMENTI MALL,"3155 COMMONWEALTH AVENUE WEST, SINGAPORE 129588",Commercial Building,Large,2018,Gold,Yes,"26,974",650,638,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,633,638,N
BEDOK MALL,"311 NEW UPPER CHANGI ROAD, SINGAPORE 467360",Commercial Building,Large,2017,Platinum,Yes,"31,204",652,658,Y
THE SELETAR MALL,"33 SENGKANG WEST AVENUE, SINGAPORE 797653",Commercial Building,Large,2017,Gold,Yes,"26,371",651,666,Y
MUSTAFA CENTRE,"145 SYED ALWI ROAD, SINGAPORE 207704",Commercial Building,Large,N/A,N/A,No,"23,000",732,689,Y
SUN PLAZA,"30 SEMBAWANG DRIVE, SINGAPORE 757713",Commercial Building,Large,N/A,N/A,No,"20,000",595,720,Y
ORCHARD CENTRAL,"181 ORCHARD ROAD, SINGAPORE 238896",Commercial Building,Large,N/A,N/A,No,"29,595",770,736,Y
HILLION MALL,"17 PETIR ROAD, SINGAPORE 678278",Commercial Building,Large,2017,Certified,Yes,"20,546",778,781,Y
OASIS,"87 SCIENCE PARK DRIVE, SINGAPORE 118260",Commercial Building,Small,2019,Certified,Yes,"6,100",55,61,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,86,83,N
THE FLOW,"66 EAST COAST ROAD, SINGAPORE 428778",Commercial Building,Small,2017,Certified,Yes,"5,800",87,108,Y
THE ROCHESTER,"35 ROCHESTER DRIVE, SINGAPORE 138639",Commercial Building,Small,2009,Gold,Yes,"8,599",127,119,Y
UPPER SERANGOON SHOPPING CENTRE,"756 UPPER SERANGOON ROAD, SINGAPORE 534626",Commercial Building,Small,2017,Gold,Yes,"12,969",143,137,Y
DELFI ORCHARD,"402 ORCHARD ROAD, SINGAPORE 238876",Commercial Building,Small,N/A,N/A,No,"11,608",161,161,Y
AYER RAJAH AMENITY CENTRE,"69 AYER RAJAH CRESCENT, SINGAPORE 139961",Commercial Building,Small,N/A,N/A,No,"2,300",166,162,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,168,165,N
SINGAPORE SHOPPING CENTRE,"190 CLEMENCEAU AVENUE, SINGAPORE 239924",Commercial Building,Small,2016,Gold,Yes,"11,256",184,179,Y
BALMORAL PLAZA,"271 BUKIT TIMAH ROAD, SINGAPORE 259708",Commercial Building,Small,N/A,N/A,No,"12,349",234,222,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,234,223,N
OG BUILDING,"100 UPPER CROSS STREET, SINGAPORE 058360",Commercial Building,Small,N/A,N/A,No,"12,439",260,232,Y
KATONG PLAZA,"1 BROOKE ROAD, SINGAPORE 429979",Commercial Building,Small,N/A,N/A,No,"5,411",246,237,Y
BALESTIER PLAZA,"400 BALESTIER ROAD, SINGAPORE 329802",Commercial Building,Small,N/A,N/A,No,"8,199",218,238,Y
JUNCTION NINE,"18 YISHUN AVENUE 9, SINGAPORE 768897",Commercial Building,Small,N/A,N/A,No,"9,921",234,255,Y
THE MIDTOWN,"1187 UPPER SERANGOON ROAD, SINGAPORE 533971",Commercial Building,Small,N/A,N/A,No,"6,359",337,265,Y
CUPPAGE PLAZA,"5 KOEK ROAD, SINGAPORE 228796",Commercial Building,Small,N/A,N/A,No,"14,571",321,302,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,Yes,N/A,322,306,N
LUCKY CHINATOWN,"211 NEW BRIDGE ROAD, SINGAPORE 059432",Commercial Building,Small,2019,Gold,Yes,"5,907",294,307,Y
ORCHARD SHOPPING CENTRE,"321 ORCHARD ROAD, SINGAPORE 238866",Commercial Building,Small,N/A,N/A,No,"5,943",288,308,Y
BUGIS CUBE,"470 NORTH BRIDGE ROAD, SINGAPORE 188735",Commercial Building,Small,N/A,N/A,No,"6,188",336,310,Y
321 CLEMENTI,"321 CLEMENTI AVENUE 3, SINGAPORE 129905",Commercial Building,Small,2015,Platinum,Yes,"7,564",349,319,Y
SINGAPORE DISCOVERY CENTRE,"510 UPPER JURONG ROAD, SINGAPORE 638365",Commercial Building,Small,N/A,N/A,No,"10,502",325,325,Y
QUEENSWAY SHOPPING CENTRE/QUEENSWAY TOWER,"1 QUEENSWAY, SINGAPORE 149053",Commercial Building,Small,N/A,N/A,No,"12,977",334,326,Y
BALESTIER POINT,"279 BALESTIER ROAD, SINGAPORE 329727",Commercial Building,Small,N/A,N/A,No,"6,154",321,339,Y
N/A,"5 TAMPINES STREET 32, SINGAPORE 529284",Commercial Building,Small,N/A,N/A,No,"9,900",129,373,Y
THE ORIENTAL PLAZA,"291 NEW BRIDGE ROAD, SINGAPORE 088756",Commercial Building,Small,N/A,N/A,No,"5,992",379,376,Y
GRANDLINK SQUARE,"511 GUILLEMARD ROAD, SINGAPORE 399849",Commercial Building,Small,N/A,N/A,No,"10,110",327,376,Y
N/A,"67 QUEEN STREET, SINGAPORE 188546",Commercial Building,Small,N/A,N/A,No,"11,254",406,386,Y
HOLLAND ROAD SHOPPING CENTRE,"211 HOLLAND AVENUE, SINGAPORE 278967",Commercial Building,Small,N/A,N/A,No,"7,403",430,399,Y
TAMAN JURONG SHOPPING CENTRE,"399 YUNG SHENG ROAD, SINGAPORE 610399",Commercial Building,Small,2013,Gold,Yes,"11,820",404,402,Y
SINGAPORE FLYER,"30 RAFFLES AVENUE, SINGAPORE 039803",Commercial Building,Small,2007,Certified,Yes,"13,590",398,411,Y
N/A,"61 ANG MO KIO AVENUE 8, SINGAPORE 569814",Commercial Building,Small,N/A,N/A,No,"5,096",433,413,Y
DJIT SUN MALL,"5 ANG MO KIO CENTRAL 2, SINGAPORE 569663",Commercial Building,Small,2013,Certified,Yes,"5,103",498,418,Y
SEMBAWANG MART,"511 CANBERRA ROAD, SINGAPORE 750511",Commercial Building,Small,2019,GoldPlus,Yes,"5,345",441,418,Y
KAP,"9 KING ALBERT PARK, SINGAPORE 598332",Commercial Building,Small,N/A,N/A,No,"5,535",179,418,Y
VISTA POINT,"548 WOODLANDS DRIVE 44, SINGAPORE 730548",Commercial Building,Small,2011,Gold,Yes,"11,260",462,447,Y
SCOTTS SQUARE,"6 SCOTTS ROAD, SINGAPORE 228209",Commercial Building,Small,N/A,N/A,No,"12,161",476,468,Y
JUNCTION 10,"1 WOODLANDS ROAD, SINGAPORE 677899",Commercial Building,Small,N/A,N/A,No,"10,967",400,477,Y
RAFFLES HOLLAND V,"118 HOLLAND AVENUE, SINGAPORE 278997",Commercial Building,Small,2016,Certified,Yes,"6,011",491,494,Y
N/A,N/A,Commercial Building,Small,N/A,N/A,No,N/A,404,513,N
THE PUNGGOL SETTLEMENT,"3 PUNGGOL POINT ROAD, SINGAPORE 828694",Commercial Building,Small,2014,Certified,Yes,"3,000",481,517,Y
ANCHORPOINT SHOPPING CENTRE,"370 ALEXANDRA ROAD, SINGAPORE 159953",Commercial Building,Small,N/A,N/A,No,"9,544",616,567,Y
ALEXANDRA CENTRAL,"321 ALEXANDRA ROAD, SINGAPORE 159971",Commercial Building,Small,2014,Certified,Yes,"8,677",582,567,Y
HEARTLAND MALL- KOVAN,"205 HOUGANG STREET 21, SINGAPORE 530205",Commercial Building,Small,N/A,N/A,No,"13,568",569,570,Y
YEW TEE SQUARE,"623 CHOA CHU KANG STREET 62, SINGAPORE 680623",Commercial Building,Small,2018,Gold,Yes,"5,659",629,579,Y
YEWTEE POINT,"21 CHOA CHU KANG NORTH 6, SINGAPORE 689578",Commercial Building,Small,2017,Certified,Yes,"10,880",616,644,Y
RIVERVALE MALL,"11 RIVERVALE CRESCENT, SINGAPORE 545082",Commercial Building,Small,N/A,N/A,No,"10,149",775,758,Y
MYVILLAGE AT SERANGOON GARDEN,"1 MAJU AVENUE, SINGAPORE 556679",Commercial Building,Small,N/A,N/A,No,"5,312",756,765,Y
HOUGANG 1,"1 HOUGANG STREET 91, SINGAPORE 538692",Commercial Building,Small,N/A,N/A,No,"9,821",915,928,Y
KITCHENER COMPLEX,"809 FRENCH ROAD, SINGAPORE 200809",Commercial Building,Large,N/A,N/A,No,"26,881",121,127,Y
SIM LIM TOWER,"10 JALAN BESAR, SINGAPORE 208787",Commercial Building,Large,2018,GoldPlus,Yes,"22,772",128,129,Y
ORCHARD TOWERS,"400 ORCHARD ROAD, SINGAPORE 238875",Commercial Building,Large,2016,Certified,Yes,"42,809",173,149,Y
THE ADELPHI,"1 COLEMAN STREET, SINGAPORE 179803",Commercial Building,Large,2017,Platinum,Yes,"41,158",160,152,Y
CONCORDE HOTEL AND SHOPPING MALL,"100 ORCHARD ROAD, SINGAPORE 238840",Commercial Building,Large,N/A,N/A,No,"62,543",165,167,Y
896 DUNEARN,"896 DUNEARN ROAD, SINGAPORE 589472",Commercial Building,Large,N/A,N/A,No,"23,500",178,170,Y
OG ALBERT COMPLEX,"60 ALBERT STREET, SINGAPORE 189969",Commercial Building,Large,2015,Gold,Yes,"25,724",181,172,Y
PENINSULA PLAZA,"111 NORTH BRIDGE ROAD, SINGAPORE 179098",Commercial Building,Large,N/A,N/A,No,"50,051",220,184,Y
PALAIS RENAISSANCE,"390 ORCHARD ROAD, SINGAPORE 238871",Commercial Building,Large,2017,Platinum,Yes,"16,491",184,188,Y
GREAT WORLD CITY,"1 KIM SENG PROMENADE, SINGAPORE 237994",Commercial Building,Large,N/A,N/A,No,"135,183",212,196,Y
SLF BUILDING,"510 THOMSON ROAD, SINGAPORE 298135",Commercial Building,Large,N/A,N/A,No,"44,615",191,197,Y
PEOPLE'S PARK CENTRE,"101 UPPER CROSS STREET, SINGAPORE 058357",Commercial Building,Large,N/A,N/A,No,"49,701",209,202,Y
TANGLIN SHOPPING CENTRE,"19 TANGLIN ROAD, SINGAPORE 247909",Commercial Building,Large,N/A,N/A,No,"24,377",209,211,Y
LIAT TOWERS,"541 ORCHARD ROAD, SINGAPORE 238881",Commercial Building,Large,2018,Gold,Yes,"19,209",239,215,Y
FAR EAST SHOPPING CENTRE,"545 ORCHARD ROAD, SINGAPORE 238882",Commercial Building,Large,2018,GoldPlus,Yes,"17,592",238,228,Y
IMM BUILDING,"2 JURONG EAST STREET 21, SINGAPORE 609601",Commercial Building,Large,2017,GoldPlus,Yes,"132,527",238,233,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,229,240,N
THE RIVERWALK,"20 UPPER CIRCULAR ROAD, SINGAPORE 058416",Commercial Building,Large,2019,Certified,Yes,"19,096",259,246,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,280,246,N
THE PLAZA,"7500A BEACH ROAD, SINGAPORE 199591",Commercial Building,Large,2017,Gold,Yes,"72,925",247,257,Y
WHEELOCK PLACE,"501 ORCHARD ROAD, SINGAPORE 238880",Commercial Building,Large,2018,Gold,Yes,"43,280",264,260,Y
N/A,"26 BEACH ROAD, SINGAPORE 189768",Commercial Building,Large,2012,Platinum,Yes,"113,072",264,265,Y
UNITED SQUARE,"101 THOMSON ROAD, SINGAPORE 307591",Commercial Building,Large,N/A,N/A,No,"66,675",277,275,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,No,N/A,286,286,N
E!HUB@DOWNTOWN EAST,"1 PASIR RIS CLOSE, SINGAPORE 519599",Commercial Building,Large,2016,Gold,Yes,"97,189",726,292,Y
N/A,N/A,Commercial Building,Large,N/A,N/A,Yes,N/A,301,295,N
