Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,Office,"1,580,000","1,011.82","1,562",Nov-25,Strata,94,"16,809",99 yrs lease commencing from 1970,01,06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,167,500",538.2,"2,169",Nov-25,Strata,50,"23,350",99 yrs lease commencing from 2011,14,01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,167,500",538.2,"2,169",Nov-25,Strata,50,"23,350",99 yrs lease commencing from 2011,14,01 to 05
SBF CENTER,ROBINSON ROAD,Office,"2,700,000",753.48,"3,583",Nov-25,Strata,70,"38,571",99 yrs lease commencing from 2011,01,21 to 25
111 SOMERSET,SOMERSET ROAD,Office,"3,332,744","1,216.33","2,740",Nov-25,Strata,113,"29,493",99 yrs lease commencing from 1975,09,06 to 10
KINDOL GARDENS,JALAN MALU-MALU,Office,"700,000","1,022.58",685,Nov-25,Strata,95,"7,368",999 yrs lease commencing from 1885,27,-
SOHO LIFE,JOO CHIAT ROAD,Office,"730,000",344.45,"2,119",Nov-25,Strata,32,"22,813",Freehold,15,01 to 05
PRUDENTIAL TOWER,CECIL STREET,Office,"16,221,000","5,952.49","2,725",Nov-25,Strata,553,"29,333",99 yrs lease commencing from 1996,01,16 to 20
THE CENTRAL,EU TONG SEN STREET,Office,"4,550,000","1,668.42","2,727",Nov-25,Strata,155,"29,355",99 yrs lease commencing from 2001,01,11 to 15
PLUS,CECIL STREET,Office,"3,330,000","1,097.93","3,033",Oct-25,Strata,102,"32,647",99 yrs lease commencing from 1989,01,06 to 10
THE PLAZA,BEACH ROAD,Office,"1,708,000","1,313.21","1,301",Oct-25,Strata,122,"14,000",99 yrs lease commencing from 1968,07,11 to 15
INTERNATIONAL PLAZA,ANSON ROAD,Office,"1,250,000",645.84,"1,935",Oct-25,Strata,60,"20,833",99 yrs lease commencing from 1970,02,31 to 35
WISMA ATRIA,ORCHARD ROAD,Office,"2,059,200",936.47,"2,199",Oct-25,Strata,87,"23,669",99 yrs lease commencing from 1962,09,16 to 20
111 SOMERSET,SOMERSET ROAD,Office,"2,499,390",925.7,"2,700",Oct-25,Strata,86,"29,063",99 yrs lease commencing from 1975,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"2,005,344",742.72,"2,700",Oct-25,Strata,69,"29,063",99 yrs lease commencing from 1975,09,06 to 10
111 SOMERSET,SOMERSET ROAD,Office,"2,121,579",785.77,"2,700",Oct-25,Strata,73,"29,063",99 yrs lease commencing from 1975,09,06 to 10
FORTUNE CENTRE,MIDDLE ROAD,Office,"855,000",301.39,"2,837",Oct-25,Strata,28,"30,536",99 yrs lease commencing from 1980,07,01 to 05
SOUTHBANK,NORTH BRIDGE ROAD,Office,"960,000",527.44,"1,820",Oct-25,Strata,49,"19,592",99 yrs lease commencing from 2006,07,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,210,675",548.96,"2,205",Oct-25,Strata,51,"23,739",99 yrs lease commencing from 2014,25,11 to 15
HAVELOCK2,HAVELOCK ROAD,Office,"1,100,000",688.9,"1,597",Oct-25,Strata,64,"17,188",99 yrs lease commencing from 1983,01,06 to 10
TUNG ANN ASSOCIATION BUILDING,CECIL STREET,Office,"10,550,000","4,337.89","2,432",Oct-25,Strata,403,"26,179",Freehold,01,01 to 05
SULTAN PLAZA,JALAN SULTAN,Office,"1,220,000",807.3,"1,511",Oct-25,Strata,75,"16,267",99 yrs lease commencing from 1978,07,01 to 05
BUKIT TIMAH PLAZA,JALAN ANAK BUKIT,Office,"1,050,000",322.92,"3,252",Oct-25,Strata,30,"35,000",99 yrs lease commencing from 1976,21,01 to 05
PS100,PECK SEAH STREET,Office,"1,200,000",441.32,"2,719",Oct-25,Strata,41,"29,268",99 yrs lease commencing from 2011,02,06 to 10
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,"455,000",279.86,"1,626",Oct-25,Strata,26,"17,500",99 yrs lease commencing from 1980,03,B1 to B5
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"2,150,000",958,"2,244",Oct-25,Strata,89,"24,157",99 yrs lease commencing from 2011,14,11 to 15
HIGH STREET CENTRE,NORTH BRIDGE ROAD,Office,"465,000",269.1,"1,728",Oct-25,Strata,25,"18,600",99 yrs lease commencing from 1969,06,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"2,887,410",882.65,"3,271",Oct-25,Strata,82,"35,212",99 yrs lease commencing from 2001,01,16 to 20
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,200,000",559.73,"2,144",Oct-25,Strata,52,"23,077",99 yrs lease commencing from 2014,25,06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,218,000",570.49,"2,135",Oct-25,Strata,53,"22,981",99 yrs lease commencing from 2014,25,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"2,887,410",882.65,"3,271",Oct-25,Strata,82,"35,212",99 yrs lease commencing from 2001,01,16 to 20
CENTROPOD @ CHANGI,CHANGI ROAD,Office,"765,000",462.85,"1,653",Oct-25,Strata,43,"17,791",Freehold,14,01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"3,100,000",882.65,"3,512",Oct-25,Strata,82,"37,805",99 yrs lease commencing from 2001,01,16 to 20
THE PLAZA,BEACH ROAD,Office,"708,000",441.32,"1,604",Oct-25,Strata,41,"17,268",99 yrs lease commencing from 1968,07,11 to 15
WISMA ATRIA,ORCHARD ROAD,Office,"4,899,570","2,217.38","2,210",Oct-25,Strata,206,"23,784",99 yrs lease commencing from 1962,09,21 to 25
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,190,000",538.2,"2,211",Sep-25,Strata,50,"23,800",99 yrs lease commencing from 2011,14,06 to 10
THE CENTRAL,EU TONG SEN STREET,Office,"1,930,000",645.84,"2,988",Sep-25,Strata,60,"32,167",99 yrs lease commencing from 2001,01,21 to 25
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,"1,280,000",333.68,"3,836",Sep-25,Strata,31,"41,290",999 yrs lease commencing from 1871,09,01 to 05
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,191,000",559.73,"2,128",Sep-25,Strata,52,"22,904",99 yrs lease commencing from 2014,25,11 to 15
